League,League URL,League Avatar,Club,Club URL,Club Avatar,Person,Person URL,Person Avatar,Person Country,Role
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Xabi Alonso,https://www.sofascore.com/manager/xabi-alonso/795501,https://api.sofascore.com/api/v1/manager/795501/image,Spain,Manager
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Florian Wirtz,https://www.sofascore.com/player/florian-wirtz/1019322,https://api.sofascore.com/api/v1/player/1019322/image,Germany,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Victor Okoh Boniface,https://www.sofascore.com/player/victor-okoh-boniface/978521,https://api.sofascore.com/api/v1/player/978521/image,Nigeria,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Amine Adli,https://www.sofascore.com/player/amine-adli/991478,https://api.sofascore.com/api/v1/player/991478/image,Morocco,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Patrik Schick,https://www.sofascore.com/player/patrik-schick/280609,https://api.sofascore.com/api/v1/player/280609/image,Czech Republic,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Adam Hložek,https://www.sofascore.com/player/adam-hlozek/963801,https://api.sofascore.com/api/v1/player/963801/image,Czech Republic,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Granit Xhaka,https://www.sofascore.com/player/granit-xhaka/117777,https://api.sofascore.com/api/v1/player/117777/image,Switzerland,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Exequiel Palacios,https://www.sofascore.com/player/exequiel-palacios/822600,https://api.sofascore.com/api/v1/player/822600/image,Argentina,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Jeremie Frimpong,https://www.sofascore.com/player/jeremie-frimpong/970361,https://api.sofascore.com/api/v1/player/970361/image,Netherlands,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Jonas Hofmann,https://www.sofascore.com/player/jonas-hofmann/142390,https://api.sofascore.com/api/v1/player/142390/image,Germany,Player
Bundesliga,https://www.sofascore.com/tournament/football/germany/bundesliga/35,https://api.sofascore.com/api/v1/unique-tournament/35/image/dark,Bayer 04 Leverkusen,https://www.sofascore.com/team/football/bayer-04-leverkusen/2681,https://api.sofascore.com/api/v1/team/2681/image,Nathan Tella,https://www.sofascore.com/player/nathan-tella/920379,https://api.sofascore.com/api/v1/player/920379/image,Nigeria,Player
